Dataset,Group,Augmentation_Method,Forecasting_Model,Training_Mode,MASE,Train_Size,Test_Size,Status
Gluonts,m1_quarterly,TimeWarping,MLP,TSTR,1.2366372,7584,346,Success
Gluonts,m1_quarterly,TimeWarping,KAN,Train+Real,1.081182,15168,346,Success
Gluonts,m1_quarterly,TimeWarping,KAN,TSTR,1.2218243,7584,346,Success
Gluonts,m1_quarterly,MagnitudeWarping,NHITS,Train+Real,0.99069834,15168,346,Success
Gluonts,m1_quarterly,MagnitudeWarping,NHITS,TSTR,1.0059344,7584,346,Success
Gluonts,m1_quarterly,MagnitudeWarping,MLP,Train+Real,1.0003177,15168,346,Success
Gluonts,m1_quarterly,MagnitudeWarping,MLP,TSTR,0.9941369,7584,346,Success
Gluonts,m1_quarterly,MagnitudeWarping,KAN,Train+Real,0.96651584,15168,346,Success
Gluonts,m1_quarterly,MagnitudeWarping,KAN,TSTR,0.9774014,7584,346,Success
Gluonts,m1_quarterly,TSMixup,NHITS,Train+Real,1.0212977,12380,346,Success
Gluonts,m1_quarterly,TSMixup,NHITS,TSTR,1.110788,4796,346,Success
Gluonts,m1_quarterly,TSMixup,MLP,Train+Real,1.0917096,12380,346,Success
Gluonts,m1_quarterly,TSMixup,MLP,TSTR,1.1051159,4796,346,Success
Gluonts,m1_quarterly,TSMixup,KAN,Train+Real,1.0294402,12380,346,Success
Gluonts,m1_quarterly,TSMixup,KAN,TSTR,1.0635524,4796,346,Success
Gluonts,m1_quarterly,DBA,NHITS,Train+Real,1.0566719,16540,346,Success
Gluonts,m1_quarterly,DBA,NHITS,TSTR,1.050148,8956,346,Success
Gluonts,m1_quarterly,DBA,MLP,Train+Real,1.0577775,16540,346,Success
Gluonts,m1_quarterly,DBA,MLP,TSTR,1.0281986,8956,346,Success
Gluonts,m1_quarterly,DBA,KAN,Train+Real,1.0570148,16540,346,Success
Gluonts,m1_quarterly,DBA,KAN,TSTR,1.0475302,8956,346,Success
M3,Monthly,Grasynda_Uniform,NHITS,Train+Real,0.745404321,199962,9588,Success
M3,Monthly,Grasynda_Uniform,NHITS,TSTR,0.791344821,99981,9588,Success
M3,Monthly,Grasynda_Uniform,MLP,Train+Real,0.756933552,199962,9588,Success
M3,Monthly,Grasynda_Uniform,MLP,TSTR,0.771168165,99981,9588,Success
M3,Monthly,Grasynda_Uniform,KAN,Train+Real,0.776760407,199962,9588,Success
M3,Monthly,Grasynda_Uniform,KAN,TSTR,0.782702276,99981,9588,Success
M3,Monthly,Grasynda_Vis_Horizontal,NHITS,Train+Real,0.757700773,199962,9588,Success
M3,Monthly,Grasynda_Vis_Horizontal,NHITS,TSTR,0.871802906,99981,9588,Success
M3,Monthly,Grasynda_Vis_Horizontal,MLP,Train+Real,0.76381472,199962,9588,Success
M3,Monthly,Grasynda_Vis_Horizontal,MLP,TSTR,0.818678037,99981,9588,Success
M3,Monthly,Grasynda_Vis_Horizontal,KAN,Train+Real,0.78425337,199962,9588,Success
M3,Monthly,Grasynda_Vis_Horizontal,KAN,TSTR,0.807059001,99981,9588,Success
M3,Monthly,Grasynda_Vis_Natural,NHITS,Train+Real,0.759058923,199962,9588,Success
M3,Monthly,Grasynda_Vis_Natural,NHITS,TSTR,0.8525944,99981,9588,Success
M3,Monthly,Grasynda_Vis_Natural,MLP,Train+Real,0.762193172,199962,9588,Success
M3,Monthly,Grasynda_Vis_Natural,MLP,TSTR,0.826109629,99981,9588,Success
M3,Monthly,Grasynda_Vis_Natural,KAN,Train+Real,0.786699937,199962,9588,Success
M3,Monthly,Grasynda_Vis_Natural,KAN,TSTR,0.811306264,99981,9588,Success
M3,Monthly,SeasonalMBB,NHITS,Train+Real,0.759422083,199962,9588,Success
M3,Monthly,SeasonalMBB,NHITS,TSTR,0.810380342,99981,9588,Success
M3,Monthly,SeasonalMBB,MLP,Train+Real,0.756110672,199962,9588,Success
M3,Monthly,SeasonalMBB,MLP,TSTR,0.785500463,99981,9588,Success
M3,Monthly,SeasonalMBB,KAN,Train+Real,0.774957088,199962,9588,Success
M3,Monthly,SeasonalMBB,KAN,TSTR,0.783608299,99981,9588,Success
M3,Monthly,Jittering,NHITS,Train+Real,0.792205532,199962,9588,Success
M3,Monthly,Jittering,NHITS,TSTR,0.790084631,99981,9588,Success
M3,Monthly,Jittering,MLP,Train+Real,0.763987178,199962,9588,Success
M3,Monthly,Jittering,MLP,TSTR,0.762721534,99981,9588,Success
M3,Monthly,Jittering,KAN,Train+Real,0.784316162,199962,9588,Success
M3,Monthly,Jittering,KAN,TSTR,0.781115468,99981,9588,Success
M3,Monthly,Scaling,NHITS,Train+Real,0.763087818,199962,9588,Success
M3,Monthly,Scaling,NHITS,TSTR,0.891085521,99981,9588,Success
M3,Monthly,Scaling,MLP,Train+Real,0.761691997,199962,9588,Success
